,Sector,Year,FDI(₹ Crores),FDI(US$ Million)
133,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2002-03,0.0,0.0
134,ELECTRICAL EQUIPMENTS,2002-03,168.0,34.71
135,COMPUTER SOFTWARE & HARDWARE,2002-03,1520.92,314.24
136,ELECTRONICS,2002-03,1432.06,295.88
137,TELECOMMUNICATIONS,2002-03,927.34,191.6
138,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2002-03,176.66,36.5
139,AUTOMOBILE INDUSTRY,2002-03,2032.61,419.96
140,AIR TRANSPORT (INCLUDING AIR FREIGHT),2002-03,18.39,3.8
141,SEA TRANSPORT,2002-03,141.91,29.32
142,PORTS,2002-03,9.83,2.03
143,RAILWAY RELATED COMPONENTS,2002-03,2.71,0.56
144,INDUSTRIAL MACHINERY,2002-03,93.9,19.4
145,MACHINE TOOLS,2002-03,68.58,14.17
146,AGRICULTURAL MACHINERY,2002-03,65.24,13.48
147,EARTH-MOVING MACHINERY,2002-03,66.65,13.77
148,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2002-03,218.14,45.07
149,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2002-03,11.28,2.33
150,MEDICAL AND SURGICAL APPLIANCES,2002-03,104.69,21.63
151,INDUSTRIAL INSTRUMENTS,2002-03,6.34,1.31
152,SCIENTIFIC INSTRUMENTS,2002-03,0.92,0.19
153,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2002-03,0.0,0.0
154,FERTILIZERS,2002-03,79.28,16.38
155,CHEMICALS (OTHER THAN FERTILIZERS),2002-03,620.1,128.12
156,PHOTOGRAPHIC RAW FILM AND PAPER,2002-03,2.9,0.6
157,DYE-STUFFS,2002-03,0.0,0.0
158,DRUGS & PHARMACEUTICALS,2002-03,193.94,40.07
159,"TEXTILES (INCLUDING DYED,PRINTED)",2002-03,262.23,54.18
160,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2002-03,35.62,7.36
161,SUGAR,2002-03,19.21,3.97
162,FERMENTATION INDUSTRIES,2002-03,39.06,8.07
163,FOOD PROCESSING INDUSTRIES,2002-03,178.5,36.88
164,VEGETABLE OILS AND VANASPATI,2002-03,0.0,0.0
165,"SOAPS, COSMETICS & TOILET PREPARATIONS",2002-03,0.0,0.0
166,RUBBER GOODS,2002-03,79.47,16.42
167,"LEATHER,LEATHER GOODS AND PICKERS",2002-03,0.05,0.01
168,GLUE AND GELATIN,2002-03,25.26,5.22
169,GLASS,2002-03,217.7,44.98
170,CERAMICS,2002-03,1.02,0.21
